opendata,ekidata,code
Aizu.Aizu,会津線,99216
Chichibu.Chichibu,秩父本線,99306
Choshi.Choshi,銚子電気鉄道線,99335
Fujikyu.Fujikyu,富士急行線,99401
HakoneTozan.HakoneTozan,箱根登山線,99339
Hokuso.Hokuso,北総線,99340
Isumi.Isumi,いすみ線,99308
IzuHakone.Sunzu,駿豆線,99502
Izukyu.Izukyu,伊豆急行線,99501
JR-Central.Gotemba,御殿場線,11505
JR-Central.Tokaido,東海道線,11501|11502|11503
JR-East.Agatsuma,吾妻線,11335
JR-East.Chuo,中央本線,11311
JR-East.ChuoRapid,中央線快速,11312
JR-East.ChuoSobuLocal,中央・総武各駅停車,11313
JR-East.Hachiko,八高線,11317|11318
JR-East.Ito,伊東線,11504
JR-East.Itsukaichi,五日市線,11316
JR-East.Joban,常磐線,11229|11230|11320
JR-East.JobanLocal,常磐線各駅停車,11229|11230|11320
JR-East.JobanRapid,常磐線快速,11229|11230|11320
JR-East.Joetsu,上越線,11342
JR-East.Karasuyama,烏山線,11334
JR-East.Kashima,鹿島線,11329
JR-East.Kawagoe,川越線(川越-高麗川間),11322
JR-East.KeihinTohokuNegishi,京浜東北線・根岸線,11332|11307
JR-East.Keiyo,京葉線,11326
JR-East.Kururi,久留里線,11330
JR-East.Musashino,武蔵野線,11305
JR-East.Nambu,南武線,11303
JR-East.NambuBranch,南武線浜川崎支線,11303
JR-East.Narita,成田線,11327
JR-East.NaritaAbikoBranch,成田線我孫子支線,11327
JR-East.NaritaAirportBranch,成田線空港支線,11327
JR-East.Oito,大糸線,11409
JR-East.Ome,青梅線,11315
JR-East.Ou,奥羽本線,11202|11216
JR-East.Ryomo,両毛線,11341
JR-East.Sagami,相模線,11309
JR-East.SaikyoKawagoe,埼京線・川越線,11321|11322
JR-East.Shinonoi,篠ノ井線,11412
JR-East.ShonanShinjuku,湘南新宿ライン,11333
JR-East.Sobu,総武本線,11314
JR-East.SobuRapid,総武快速線,11314
JR-East.Sotobo,外房線,11324
JR-East.Takasaki,高崎線,11323
JR-East.Togane,東金線,11331
JR-East.Tokaido,東海道線,11301
JR-East.Tsurumi,鶴見線,11304
JR-East.Uchibo,内房線,11325
JR-East.Utsunomiya,宇都宮線,11319
JR-East.Yamanote,山手線,11302
JR-East.Yokohama,横浜線,11306
JR-East.Yokosuka,横須賀線,11308
KashimaRinkai.OaraiKashima,大洗鹿島線,99323
Keikyu.Airport,空港線,27002
Keikyu.Daishi,大師線,27003
Keikyu.Kurihama,久里浜線,27005
Keikyu.Main,京急本線,27001
Keikyu.Zushi,逗子線,27004
Keio.Dobutsuen,動物園線,24005
Keio.Inokashira,井の頭線,24006
Keio.Keibajo,競馬場線,24004
Keio.Keio,京王線,24001
Keio.KeioNew,京王新線,24007
Keio.Sagamihara,相模原線,24002
Keio.Takao,高尾線,24003
Keisei.Chiba,千葉線,23004
Keisei.Chihara,千原線,23005
Keisei.HigashiNarita,東成田線,23001
Keisei.Kanamachi,金町線,23003
Keisei.Main,京成本線,23001
Keisei.NaritaSkyAccess,成田スカイアクセス線,23006
Keisei.Oshiage,押上線,23002
Minatomirai.Minatomirai,みなとみらい線,99310
Odakyu.Enoshima,江ノ島線,25002
Odakyu.Odawara,小田原線,25001
Odakyu.Tama,多摩線,25003
Ryutetsu.Nagareyama,流山線,99333
SaitamaRailway.SaitamaRailway,埼玉高速鉄道線,99307
Seibu.Haijima,拝島線,22008
Seibu.Ikebukuro,池袋線,22001
Seibu.Kokubunji,国分寺線,22010
Seibu.Sayama,狭山線,22005
Seibu.SeibuChichibu,西武秩父線,22002
Seibu.SeibuYurakucho,西武有楽町線,22003
Seibu.Seibuen,西武園線,22009
Seibu.Shinjuku,新宿線,22007
Seibu.Tamagawa,多摩川線,22012
Seibu.Tamako,多摩湖線,22011
Seibu.Toshima,豊島線,22004
Seibu.Yamaguchi,山口線,22006
Shibayama.Shibayama,芝山鉄道線,99324
ShinKeisei.ShinKeisei,新京成線,99329
TWR.Rinkai,りんかい線,99337
Tobu.Daishi,大師線,21006
Tobu.Isesaki,伊勢崎線,21002
Tobu.Kameido,亀戸線,21005
Tobu.Kinugawa,鬼怒川線,21009
Tobu.Kiryu,桐生線,21011
Tobu.Koizumi,小泉線,21012
Tobu.KoizumiBranch,小泉線(東小泉-太田),21012
Tobu.Nikko,日光線,21003
Tobu.Ogose,越生線,21007
Tobu.Sano,佐野線,21010
Tobu.TobuSkytree,東武スカイツリーライン,21002
Tobu.TobuSkytreeBranch,東武スカイツリーライン(押上-曳舟),21002
Tobu.TobuUrbanPark,東武アーバンパークライン,21004
Tobu.Tojo,東上線,21001
Tobu.Utsunomiya,宇都宮線,21008
Toei.Arakawa,東京さくらトラム（都電荒川線）,99305
Toei.Asakusa,浅草線,99302
Toei.Mita,三田線,99303
Toei.NipporiToneri,日暮里・舎人ライナー,99342
Toei.Oedo,大江戸線,99301
Toei.Shinjuku,新宿線,99304
TokyoMetro.Chiyoda,千代田線,28005
TokyoMetro.Fukutoshin,副都心線,28010
TokyoMetro.Ginza,銀座線,28001
TokyoMetro.Hanzomon,半蔵門線,28008
TokyoMetro.Hibiya,日比谷線,28003
TokyoMetro.Marunouchi,丸ノ内線,28002
TokyoMetro.MarunouchiBranch,丸ノ内線支線,28002
TokyoMetro.Namboku,南北線,28009
TokyoMetro.Tozai,東西線,28004
TokyoMetro.Yurakucho,有楽町線,28006
TokyoMonorail.HanedaAirport,羽田空港線,99336
ToyoRapid.ToyoRapid,東葉高速線,99338
Yagan.AizuKinugawa,会津鬼怒川線,99341
Yurikamome.Yurikamome,ゆりかもめ,99311